Rank,Major_code,Major,Total,Men,Women,Major_category,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
48,3701,APPLIED MATHEMATICS,4939.0,2794.0,2145.0,Computers & Mathematics,0.434298441,45,3854,3465,1176,2593,385,0.090823307,45000,34000,63000,2437,803,357
49,3607,PHARMACOLOGY,1762.0,515.0,1247.0,Biology & Life Science,0.707718502,3,1144,657,532,565,107,0.085531575,45000,40000,45000,603,478,93
50,5006,OCEANOGRAPHY,2418.0,752.0,1666.0,Physical Sciences,0.688999173,36,1638,1931,379,1595,99,0.056994819,44700,23000,50000,459,996,186
51,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,2906.0,2400.0,506.0,Engineering,0.174122505,29,2125,1992,462,1358,74,0.03365166,44000,30000,50000,482,844,245
52,6104,MEDICAL ASSISTING SERVICES,11123.0,803.0,10320.0,Health,0.927807246,67,9168,5643,4107,4290,407,0.042506527,42000,30000,65000,2091,6948,1270
53,4005,MATHEMATICS AND COMPUTER SCIENCE,609.0,500.0,109.0,Computers & Mathematics,0.178981938,7,559,584,0,391,0,0.0,42000,30000,78000,452,67,25
54,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,4168.0,3046.0,1122.0,Computers & Mathematics,0.269193858,43,3257,3204,482,2453,419,0.11398259,41300,20000,46000,2024,1033,263
55,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,3831.0,1667.0,2164.0,Biology & Life Science,0.56486557,25,2741,2470,711,1584,223,0.075236167,41000,20000,60000,1369,921,135
56,2303,SCHOOL STUDENT COUNSELING,818.0,119.0,699.0,Education,0.854523227,4,730,595,135,545,88,0.107579462,41000,41000,43000,509,221,0
57,5505,INTERNATIONAL RELATIONS,28187.0,10345.0,17842.0,Social Science,0.632986838,219,21190,18681,5563,13583,2271,0.096798943,40100,31200,53000,6774,9570,2499
58,6200,GENERAL BUSINESS,234590.0,132238.0,102352.0,Business,0.436301633,2380,190183,171385,36241,138299,14946,0.072861468,40000,30000,55000,29334,100831,27320
59,1401,ARCHITECTURE,46420.0,25463.0,20957.0,Engineering,0.451464886,362,34158,29223,10206,20026,4366,0.113331949,40000,31000,50000,16178,13724,4221
60,6210,INTERNATIONAL BUSINESS,25894.0,10624.0,15270.0,Business,0.589711902,260,19660,17563,4890,12823,2092,0.096175064,40000,30000,50000,3383,9482,3046
61,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,23551.0,8697.0,14854.0,Health,0.630716318,38,16620,12537,5346,9131,977,0.055520827,40000,20000,90000,11573,4493,1121
62,3603,MOLECULAR BIOLOGY,18300.0,7426.0,10874.0,Biology & Life Science,0.59420765,90,11581,9441,4590,6183,1067,0.084361164,40000,29000,47000,7225,3145,1168
63,6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,17947.0,10285.0,7662.0,Business,0.42692372,244,14826,13364,3366,10637,1150,0.071982974,40000,30000,51000,2236,8937,1758
64,1101,AGRICULTURE PRODUCTION AND MANAGEMENT,14240.0,9658.0,4582.0,Agriculture & Natural Resources,0.321769663,273,12323,11119,2196,9093,649,0.050030836,40000,25000,50000,1925,6221,1362
65,1100,GENERAL AGRICULTURE,10399.0,6053.0,4346.0,Agriculture & Natural Resources,0.4179248,158,8884,7589,2031,5888,178,0.019642463,40000,30000,50000,2418,4717,839
66,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,8804.0,7043.0,1761.0,Engineering,0.200022717,125,7502,7001,1240,5825,416,0.05253852,40000,30400,56000,2446,3896,386
67,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,4790.0,4419.0,371.0,Engineering,0.077453027,71,4186,4175,247,3607,250,0.056357078,40000,27000,52000,1861,2121,406
68,3605,GENETICS,3635.0,1761.0,1874.0,Biology & Life Science,0.515543329,11,2463,1787,847,1487,87,0.034117647,40000,34000,45000,1675,678,201
69,5599,MISCELLANEOUS SOCIAL SCIENCES,3283.0,1499.0,1784.0,Social Science,0.543405422,28,2727,2183,907,1530,215,0.073079538,40000,30000,54000,744,1654,573
70,6403,UNITED STATES HISTORY,3079.0,1756.0,1323.0,Humanities & Liberal Arts,0.429684963,22,2787,2103,839,1274,138,0.047179487,40000,30000,42000,801,1591,302
71,5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,3014.0,1075.0,1939.0,Psychology & Social Work,0.643331121,24,2343,1644,1095,1409,286,0.108786611,40000,32000,53000,559,1224,272
72,1102,AGRICULTURAL ECONOMICS,2439.0,1749.0,690.0,Agriculture & Natural Resources,0.282902829,44,2174,1819,620,1528,182,0.077249576,40000,27000,54000,535,893,94
73,5000,PHYSICAL SCIENCES,1436.0,894.0,542.0,Physical Sciences,0.377437326,10,1146,768,437,653,42,0.035353535,40000,30000,55000,530,465,269
74,3801,MILITARY TECHNOLOGIES,124.0,124.0,0.0,Industrial Arts & Consumer Services,0.0,4,0,111,0,111,0,0.0,40000,40000,40000,0,0,0
75,5003,CHEMISTRY,66530.0,32923.0,33607.0,Physical Sciences,0.505140538,353,48535,39509,15066,29910,2769,0.0539724,39000,30000,49900,30382,14718,4288
76,5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",2435.0,1869.0,566.0,Industrial Arts & Consumer Services,0.232443532,37,2107,2057,287,1752,64,0.029479503,38400,22500,45000,221,1659,81
77,6203,BUSINESS MANAGEMENT AND ADMINISTRATION,329927.0,173809.0,156118.0,Business,0.473189524,4212,276234,251540,50357,199897,21502,0.072218341,38000,29000,50000,36720,148395,32395
78,6206,MARKETING AND MARKETING RESEARCH,205211.0,78857.0,126354.0,Business,0.615727227,2684,178862,156668,35829,127230,11663,0.061215064,38000,30000,50000,25320,93889,27968
79,5506,POLITICAL SCIENCE AND GOVERNMENT,182621.0,93880.0,88741.0,Social Science,0.485929877,1387,133454,117709,43711,83236,15022,0.101174601,38000,28000,50000,36854,66947,19803
80,5504,GEOGRAPHY,18480.0,11404.0,7076.0,Social Science,0.382900433,179,14057,11367,5651,8628,1799,0.113458628,38000,30000,50000,5350,6830,1905
81,3606,MICROBIOLOGY,15232.0,6383.0,8849.0,Biology & Life Science,0.580948004,62,9685,7453,3379,5080,693,0.066775872,38000,29600,50000,5577,3174,1246
82,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,8066.0,6607.0,1459.0,Computers & Mathematics,0.180882718,103,6509,6289,1030,4936,721,0.099723375,37500,25000,50000,2354,3244,308
83,3601,BIOCHEMICAL SCIENCES,39107.0,18951.0,20156.0,Biology & Life Science,0.515406449,174,25678,20643,9948,13785,2249,0.080531385,37400,29000,50000,15654,8394,3012
84,3602,BOTANY,1329.0,626.0,703.0,Biology & Life Science,0.52896915,9,1010,946,169,740,0,0.0,37000,26000,40000,677,184,56
85,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,7613.0,5291.0,2322.0,Computers & Mathematics,0.305004597,97,6144,5495,1447,4369,1100,0.151849807,36400,27000,49000,2593,2941,352
86,5004,GEOLOGY AND EARTH SCIENCE,10972.0,5813.0,5159.0,Physical Sciences,0.470196865,78,8296,6966,2913,5008,677,0.075448568,36200,28000,47000,4858,2792,959
87,6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,24497.0,6184.0,18313.0,Business,0.747560926,264,20760,18550,3767,15446,1315,0.059569649,36000,28000,45000,2406,9629,1906
88,3202,PRE-LAW AND LEGAL STUDIES,13528.0,4435.0,9093.0,Law & Public Policy,0.672161443,92,9762,7851,3595,5370,757,0.071965016,36000,29200,46000,2002,6454,1336
89,6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,13386.0,1589.0,11797.0,Health,0.881293889,81,10076,7514,4145,5868,893,0.08141125,36000,23000,42000,5652,3835,1422
90,5401,PUBLIC ADMINISTRATION,5629.0,2947.0,2682.0,Law & Public Policy,0.476461183,46,4158,4148,847,2952,789,0.1594906,36000,23000,60000,919,2313,496
91,5005,GEOSCIENCES,1978.0,809.0,1169.0,Physical Sciences,0.591001011,18,1441,1264,354,1011,36,0.024373731,36000,21000,41000,784,591,221
92,5206,SOCIAL PSYCHOLOGY,1386.0,413.0,973.0,Psychology & Social Work,0.702020202,8,1080,828,433,529,33,0.029649596,36000,34000,45000,434,593,37
93,1301,ENVIRONMENTAL SCIENCE,25965.0,10787.0,15178.0,Biology & Life Science,0.584556133,225,20859,16987,7071,10916,1779,0.078584681,35600,25000,40200,8149,10076,3175
94,1901,COMMUNICATIONS,213996.0,70619.0,143377.0,Communications & Journalism,0.669998505,2394,179633,147335,49889,116251,14602,0.075176976,35000,27000,45000,40763,97964,27440
95,5301,CRIMINAL JUSTICE AND FIRE PROTECTION,152824.0,80231.0,72593.0,Law & Public Policy,0.47501047,1728,125393,109970,32242,88548,11268,0.082452199,35000,26000,45000,24348,88858,18404
96,6004,COMMERCIAL ART AND GRAPHIC DESIGN,103480.0,32041.0,71439.0,Arts,0.690365288,1186,83483,67448,24387,52243,8947,0.096797577,35000,25000,45000,37389,38119,14839
97,1902,JOURNALISM,72619.0,23736.0,48883.0,Communications & Journalism,0.673143392,843,61022,51411,15902,39524,4535,0.069176442,35000,26000,42900,23279,26672,8512
98,5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,62052.0,27015.0,35037.0,Physical Sciences,0.564639335,427,46138,37850,13133,28966,2727,0.055806815,35000,24000,50000,17923,22039,5751
99,1904,ADVERTISING AND PUBLIC RELATIONS,53162.0,12862.0,40300.0,Communications & Journalism,0.758060269,681,45326,38815,10948,30932,3305,0.067960766,35000,27000,47000,9659,23059,7214
100,1501,AREA ETHNIC AND CIVILIZATION STUDIES,31195.0,8739.0,22456.0,Humanities & Liberal Arts,0.719858952,249,24629,18755,9541,13109,1668,0.063429289,35000,24500,44000,8465,11818,3677
